,Year,CMTFX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-28.97,-16.82,-36.89,-12.14,7.93,1.69,413.0,27.0
1,2002,-38.17,-19.89,-42.86,-18.29,4.68,1.65,512.0,21.0
2,2003,85.22,33.11,55.77,52.12,29.46,1.65,523.0,6.0
3,2004,21.51,14.72,4.24,6.79,17.27,1.65,1.65,2.0
4,2005,16.76,9.49,5.76,7.27,11.0,1.6,328.0,2.0
5,2006,8.96,20.07,7.08,-11.11,1.88,1.2,350.0,29.0
6,2007,23.54,9.04,16.12,14.5,7.42,1.21,210.0,16.0
7,2008,-51.0,-40.71,-45.33,-10.29,-5.67,1.11,263.0,87.0
8,2009,50.85,29.99,61.99,20.86,-11.14,1.21,284.0,82.0
9,2010,25.93,11.76,20.0,14.17,5.93,1.2,189.0,19.0
10,2011,-14.59,-5.54,-7.62,-9.05,-6.98,1.2,263.0,94.0
11,2012,18.45,15.83,13.08,2.62,5.36,1.19,220.0,22.0
12,2013,46.73,26.68,35.45,20.05,11.28,1.21,135.0,12.0
13,YTD,18.28,6.66,13.32,11.62,4.96,1.17,68.0,18.0
