,Year,FBIDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.95,-0.82,-1.35,-0.13,0.4,0.4,0.4,38.0
1,2000,11.42,11.63,9.44,-0.2,1.99,1.99,1.99,16.0
2,2001,8.08,8.44,7.64,-0.36,0.44,0.31,144.0,36.0
3,2002,10.22,10.26,8.04,-0.04,2.18,0.31,178.0,11.0
4,2003,4.91,4.1,5.1,0.8,-0.19,0.32,204.0,38.0
5,2004,4.36,4.34,3.91,0.02,0.45,0.32,0.32,32.0
6,2005,2.26,2.43,1.8,-0.17,0.45,0.32,160.0,25.0
7,2006,4.35,4.33,4.15,0.02,0.2,0.31,82.0,30.0
8,2007,5.37,6.97,4.7,-1.59,0.67,0.31,174.0,45.0
9,2008,3.76,5.24,-4.7,-1.48,8.46,0.32,151.0,17.0
10,2009,6.45,5.93,13.97,0.52,-7.53,0.32,231.0,88.0
11,2010,6.29,6.54,7.72,-0.25,-1.42,0.32,165.0,77.0
12,2011,7.68,7.84,5.86,-0.16,1.82,0.27,106.0,12.0
13,2012,4.06,4.21,7.01,-0.15,-2.95,0.22,100.0,84.0
14,2013,-2.36,-2.02,-1.42,-0.33,-0.93,0.22,118.0,75.0
15,YTD,5.81,5.87,5.34,-0.06,0.46,0.22,85.0,38.0
