,Year,MDLRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,1.3,-9.1,-6.31,10.4,7.6,1.59,1.59,15.0
1,2001,-5.18,-11.89,-13.5,6.7,8.32,1.32,162.0,6.0
2,2002,-18.12,-22.1,-22.25,3.98,4.13,1.28,1.28,14.0
3,2003,31.64,28.68,27.05,2.96,4.6,1.23,1.23,11.0
4,2004,15.37,10.88,10.02,4.49,5.35,1.18,1.18,6.0
5,2005,13.04,4.91,5.88,8.13,7.17,1.16,94.0,4.0
6,2006,12.79,15.79,14.17,-3.0,-1.38,1.14,1.14,74.0
7,2007,4.86,5.49,6.16,-0.64,-1.3,1.14,96.0,61.0
8,2008,-37.47,-37.0,-37.79,-0.47,0.32,1.11,109.0,49.0
9,2009,20.46,26.46,28.17,-6.0,-7.71,1.12,168.0,88.0
10,2010,11.02,15.06,14.01,-4.05,-2.99,1.14,173.0,84.0
11,2011,-0.03,2.11,-1.27,-2.14,1.24,1.14,129.0,41.0
12,2012,14.23,16.0,14.96,-1.77,-0.73,1.14,128.0,58.0
13,2013,33.47,32.39,31.5,1.08,1.97,1.14,50.0,30.0
14,YTD,10.78,13.98,11.28,-3.19,-0.5,1.14,40.0,65.0
