,Year,PMDRX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.9,-0.82,-1.35,1.72,2.24,2.24,169.0,6.0
1,2000,10.13,11.63,9.44,-1.5,0.69,0.47,128.0,49.0
2,2001,9.41,8.44,7.64,0.96,1.76,0.45,377.0,11.0
3,2002,9.95,10.26,8.04,-0.31,1.91,0.45,490.0,15.0
4,2003,5.44,4.1,5.1,1.34,0.34,0.45,458.0,31.0
5,2004,4.14,4.34,3.91,-0.2,0.23,0.45,0.45,41.0
6,2005,1.4,2.43,1.8,-1.03,-0.41,0.45,447.0,70.0
7,2006,3.81,4.33,4.15,-0.53,-0.34,0.45,208.0,59.0
8,2007,8.15,6.97,4.7,1.18,3.44,0.45,238.0,3.0
9,2008,3.86,5.24,-4.7,-1.38,8.56,0.45,151.0,17.0
10,2009,12.61,5.93,13.97,6.68,-1.36,0.46,302.0,52.0
11,2010,8.43,6.54,7.72,1.89,0.72,0.46,844.0,30.0
12,2011,3.73,7.84,5.86,-4.11,-2.13,0.46,325.0,90.0
13,2012,8.52,4.21,7.01,4.3,1.51,0.46,391.0,27.0
14,2013,-0.05,-2.02,-1.42,1.98,1.38,0.46,373.0,13.0
15,YTD,3.6,5.87,5.34,-2.27,-1.75,0.46,237.0,91.0
