,Year,VWEHX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.49,-0.82,5.05,3.31,-2.56,-2.56,31.0,73.0
1,2000,-0.88,11.63,-7.12,-12.5,6.25,0.28,20.0,15.0
2,2001,2.9,8.44,2.39,-5.54,0.52,0.27,16.0,55.0
3,2002,1.73,10.26,-1.52,-8.52,3.25,0.27,29.0,21.0
4,2003,17.2,4.1,24.36,13.09,-7.16,0.26,29.0,91.0
5,2004,8.52,4.34,9.99,4.18,-1.47,0.23,0.23,76.0
6,2005,2.77,2.43,2.59,0.34,0.18,0.22,51.0,42.0
7,2006,8.24,4.33,10.14,3.9,-1.9,0.25,44.0,87.0
8,2007,2.04,6.97,1.47,-4.92,0.57,0.26,47.0,44.0
9,2008,-21.29,5.24,-26.41,-26.53,5.12,0.25,26.0,22.0
10,2009,39.09,5.93,46.7,33.16,-7.61,0.27,21.0,82.0
11,2010,12.4,6.54,14.24,5.86,-1.84,0.28,32.0,85.0
12,2011,7.13,7.84,2.83,-0.71,4.3,0.25,38.0,2.0
13,2012,14.36,4.21,14.67,10.14,-0.31,0.23,26.0,57.0
14,2013,4.54,-2.02,6.9,6.56,-2.36,0.23,30.0,92.0
15,YTD,4.97,5.87,2.83,-0.9,2.14,0.23,28.0,6.0
