,Year,FAGIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.27,-0.82,5.05,14.09,8.21,8.21,8.21,5.0
1,2000,-9.43,11.63,-7.12,-21.06,-2.31,0.82,88.0,69.0
2,2001,-4.66,8.44,2.39,-13.1,-7.04,0.78,132.0,91.0
3,2002,-0.4,10.26,-1.52,-10.66,1.11,0.81,125.0,44.0
4,2003,39.13,4.1,24.36,35.03,14.77,0.83,125.0,2.0
5,2004,12.57,4.34,9.99,8.23,2.58,0.79,0.79,9.0
6,2005,5.04,2.43,2.59,2.61,2.45,0.77,59.0,5.0
7,2006,13.08,4.33,10.14,8.75,2.94,0.77,42.0,5.0
8,2007,3.78,6.97,1.47,-3.18,2.31,0.75,37.0,8.0
9,2008,-31.9,5.24,-26.41,-37.14,-5.49,0.74,48.0,87.0
10,2009,72.14,5.93,46.7,66.21,25.44,0.78,48.0,1.0
11,2010,17.13,6.54,14.24,10.59,2.89,0.76,51.0,11.0
12,2011,-1.89,7.84,2.83,-9.74,-4.72,0.76,65.0,93.0
13,2012,16.4,4.21,14.67,12.18,1.73,0.77,48.0,23.0
14,2013,9.71,-2.02,6.9,11.73,2.81,0.73,60.0,10.0
15,YTD,7.08,5.87,2.83,1.21,4.25,0.71,47.0,1.0
