,Year,PRVAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.43,-2.06,-4.34,-1.37,0.91,0.91,47.0,28.0
1,2000,11.96,11.68,11.02,0.27,0.94,0.55,48.0,20.0
2,2001,4.86,5.13,4.32,-0.26,0.55,0.54,38.0,24.0
3,2002,9.72,9.6,8.53,0.11,1.19,0.53,47.0,10.0
4,2003,5.0,5.31,4.79,-0.31,0.22,0.52,33.0,35.0
5,2004,4.03,4.48,3.84,-0.45,0.19,0.52,0.52,41.0
6,2005,3.25,3.51,2.96,-0.26,0.29,0.51,27.0,33.0
7,2006,4.57,4.84,4.41,-0.27,0.16,0.51,32.0,30.0
8,2007,2.24,3.36,1.65,-1.12,0.59,0.5,29.0,32.0
9,2008,-3.82,-2.47,-10.07,-1.35,6.25,0.49,26.0,12.0
10,2009,14.4,12.91,19.1,1.49,-4.69,0.5,27.0,72.0
11,2010,1.14,2.38,1.18,-1.24,-0.04,0.48,14.0,55.0
12,2011,10.68,10.7,10.2,-0.02,0.48,0.48,22.0,35.0
13,2012,7.3,6.78,7.57,0.52,-0.28,0.48,13.0,49.0
14,2013,-3.5,-2.55,-5.66,-0.95,2.15,0.47,12.0,15.0
15,YTD,9.16,8.5,9.57,0.66,-0.41,0.48,10.0,52.0
