,Year,VMATX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.16,-2.06,-4.0,-2.1,-0.16,0.2,39.0,55.0
1,2000,13.78,11.68,11.06,2.1,2.72,0.19,34.0,7.0
2,2001,4.33,5.13,4.24,-0.79,0.1,0.16,26.0,43.0
3,2002,9.09,9.6,8.53,-0.51,0.56,0.14,16.0,27.0
4,2003,5.1,5.31,4.58,-0.21,0.52,0.16,0.16,20.0
5,2004,4.05,4.48,3.41,-0.43,0.64,0.14,0.14,28.0
6,2005,3.23,3.51,2.6,-0.29,0.63,0.14,9.0,28.0
7,2006,4.91,4.84,4.08,0.07,0.83,0.14,5.0,10.0
8,2007,2.84,3.36,1.82,-0.52,1.02,0.12,16.0,29.0
9,2008,-1.27,-2.47,-7.31,1.2,6.04,0.12,29.0,19.0
10,2009,10.9,12.91,16.63,-2.01,-5.73,0.17,15.0,84.0
11,2010,1.16,2.38,1.08,-1.22,0.07,0.17,18.0,49.0
12,2011,10.41,10.7,10.46,-0.29,-0.05,0.17,13.0,58.0
13,2012,6.46,6.78,6.97,-0.32,-0.51,0.16,13.0,72.0
14,2013,-3.32,-2.55,-5.11,-0.76,1.79,0.16,36.0,19.0
15,YTD,9.53,8.5,8.55,1.03,0.98,0.98,0.98,34.0
