,Year,FSTMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,23.23,21.04,20.16,2.19,3.07,3.07,3.07,28.0
1,2000,-10.96,-9.1,-6.31,-1.85,-4.65,0.26,11.0,79.0
2,2001,-10.79,-11.89,-13.5,1.09,2.71,0.25,16.0,26.0
3,2002,-20.99,-22.1,-22.25,1.11,1.26,0.25,7.0,30.0
4,2003,31.24,28.68,27.05,2.56,4.2,0.25,3.0,12.0
5,2004,12.11,10.88,10.02,1.23,2.08,0.25,0.25,22.0
6,2005,6.42,4.91,5.88,1.51,0.54,0.17,6.0,39.0
7,2006,15.73,15.79,14.17,-0.06,1.57,0.1,6.0,22.0
8,2007,5.57,5.49,6.16,0.07,-0.59,0.1,4.0,48.0
9,2008,-37.18,-37.0,-37.79,-0.18,0.61,0.1,4.0,42.0
10,2009,28.39,26.46,28.17,1.93,0.22,0.1,3.0,42.0
11,2010,17.41,15.06,14.01,2.34,3.4,0.1,7.0,11.0
12,2011,0.98,2.11,-1.27,-1.14,2.25,0.1,4.0,32.0
13,2012,16.29,16.0,14.96,0.29,1.33,0.1,17.0,29.0
14,2013,33.37,32.39,31.5,0.98,1.87,0.1,3.0,32.0
15,YTD,12.44,13.98,11.28,-1.53,1.16,0.1,2.0,43.0
