,Year,FSRFX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.69,24.93,9.69,2.75,17.99,17.99,17.99,9.0
1,2000,17.74,-13.18,8.96,30.92,8.79,1.71,318.0,17.0
2,2001,6.21,-16.82,0.46,23.03,5.75,1.84,137.0,1.0
3,2002,-16.44,-19.89,-17.88,3.44,1.43,1.4,155.0,31.0
4,2003,38.14,33.11,33.45,5.03,4.69,1.75,47.0,31.0
5,2004,27.02,14.72,21.3,12.3,5.72,1.53,1.53,1.0
6,2005,11.91,9.49,9.97,2.43,1.94,1.14,148.0,31.0
7,2006,9.48,20.07,12.89,-10.59,-3.41,1.11,142.0,75.0
8,2007,-0.59,9.04,8.77,-9.63,-9.36,1.02,133.0,70.0
9,2008,-27.03,-40.71,-37.69,13.69,10.66,0.99,84.0,24.0
10,2009,23.29,29.99,26.94,-6.7,-3.65,1.03,81.0,69.0
11,2010,41.3,11.76,29.99,29.54,11.31,1.0,265.0,1.0
12,2011,-5.28,-5.54,-8.29,0.26,3.0,0.9,114.0,24.0
13,2012,11.1,15.83,18.96,-4.73,-7.86,0.87,82.0,89.0
14,2013,48.35,26.68,41.36,21.67,6.99,0.86,47.0,22.0
15,YTD,32.26,6.66,8.61,25.6,23.65,0.84,78.0,1.0
