,Year,EQPIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.76,21.04,6.72,-17.28,-2.96,0.66,113.0,61.0
1,2000,9.93,-9.1,7.87,19.03,2.06,0.65,101.0,39.0
2,2001,-1.88,-11.89,-4.99,10.01,3.11,0.65,60.0,30.0
3,2002,-15.2,-22.1,-18.69,6.9,3.49,0.64,40.0,23.0
4,2003,29.16,28.68,28.44,0.48,0.73,0.65,0.65,39.0
5,2004,12.45,10.88,12.97,1.57,-0.52,0.67,0.67,56.0
6,2005,6.76,4.91,5.95,1.85,0.81,0.66,45.0,36.0
7,2006,17.42,15.79,18.15,1.62,-0.73,0.69,56.0,61.0
8,2007,3.85,5.49,1.42,-1.64,2.43,0.68,44.0,31.0
9,2008,-40.45,-37.0,-37.09,-3.45,-3.36,0.72,78.0,76.0
10,2009,24.88,26.46,24.13,-1.59,0.75,0.78,76.0,39.0
11,2010,13.63,15.06,13.66,-1.43,-0.03,0.76,29.0,45.0
12,2011,0.71,2.11,-0.75,-1.4,1.46,0.73,89.0,35.0
13,2012,17.1,16.0,14.57,1.09,2.53,0.73,49.0,22.0
14,2013,27.86,32.39,31.21,-4.53,-3.36,0.71,34.0,81.0
15,YTD,9.35,13.98,10.25,-4.63,-0.9,-0.9,-0.9,69.0
