,Year,NSCMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.15,-2.06,-2.66,0.91,1.51,0.5,9.0,13.0
1,2000,8.71,11.68,9.62,-2.97,-0.91,0.5,14.0,67.0
2,2001,5.01,5.13,4.37,-0.12,0.64,0.64,9.0,16.0
3,2002,6.84,9.6,8.12,-2.76,-1.28,-1.28,-1.28,88.0
4,2003,5.27,5.31,4.03,-0.04,1.24,0.5,24.0,10.0
5,2004,3.31,4.48,2.88,-1.17,0.44,0.5,0.5,31.0
6,2005,2.14,3.51,2.08,-1.37,0.06,0.5,9.0,47.0
7,2006,3.87,4.84,3.77,-0.97,0.09,0.5,11.0,40.0
8,2007,2.96,3.36,2.05,-0.4,0.9,0.5,15.0,36.0
9,2008,-1.57,-2.47,-2.81,0.91,1.24,0.5,13.0,47.0
10,2009,10.01,12.91,11.29,-2.9,-1.28,0.5,21.0,58.0
11,2010,3.08,2.38,1.65,0.7,1.43,0.53,16.0,3.0
12,2011,8.93,10.7,8.9,-1.77,0.04,0.55,15.0,45.0
13,2012,4.99,6.78,4.75,-1.79,0.24,0.54,0.54,36.0
14,2013,-1.74,-2.55,-2.82,0.82,1.08,0.55,14.0,11.0
15,YTD,5.57,8.5,6.39,-2.94,-0.83,0.56,6.0,61.0
