,Year,FNARX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,38.8,24.93,32.83,13.86,5.97,5.97,5.97,22.0
1,2000,30.43,-13.18,45.89,43.61,-15.46,1.85,164.0,41.0
2,2001,-11.37,-16.82,-13.13,5.46,1.76,1.67,138.0,56.0
3,2002,-11.74,-19.89,-11.49,8.15,-0.25,1.56,115.0,79.0
4,2003,29.48,33.11,32.28,-3.63,-2.8,1.72,70.0,51.0
5,2004,23.54,14.72,33.42,8.82,-9.88,1.59,1.59,72.0
6,2005,46.02,9.49,46.33,36.54,-0.31,1.0,101.0,33.0
7,2006,19.1,20.07,12.05,-0.97,7.04,0.93,119.0,29.0
8,2007,50.08,9.04,42.09,41.05,7.99,0.92,116.0,8.0
9,2008,-52.39,-40.71,-51.12,-11.68,-1.27,0.85,44.0,71.0
10,2009,51.74,29.99,44.36,21.75,7.37,0.84,136.0,42.0
11,2010,23.09,11.76,17.14,11.32,5.94,0.92,85.0,34.0
12,2011,-9.25,-5.54,-7.54,-3.71,-1.71,0.87,113.0,22.0
13,2012,3.35,15.83,1.21,-12.47,2.14,0.84,88.0,30.0
14,2013,17.49,26.68,22.85,-9.19,-5.36,0.84,76.0,78.0
15,YTD,-11.36,6.66,-13.55,-18.02,2.18,0.84,99.0,32.0
