,Year,FDVLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.55,21.04,8.5,-12.49,0.06,0.06,50.0,50.0
1,2000,8.1,-9.1,18.45,17.21,-10.34,0.48,48.0,80.0
2,2001,12.25,-11.89,6.67,24.13,5.58,0.77,49.0,26.0
3,2002,-9.25,-22.1,-13.25,12.85,4.0,0.95,42.0,24.0
4,2003,34.43,28.68,33.85,5.75,0.58,0.98,0.98,43.0
5,2004,21.21,10.88,17.85,10.32,3.36,0.93,0.93,26.0
6,2005,14.27,4.91,8.82,9.36,5.45,0.72,29.0,6.0
7,2006,15.09,15.79,15.87,-0.7,-0.78,0.66,36.0,59.0
8,2007,2.21,5.49,0.83,-3.28,1.38,0.69,44.0,40.0
9,2008,-46.52,-37.0,-36.77,-9.52,-9.75,0.76,50.0,98.0
10,2009,44.08,26.46,35.41,17.62,8.67,0.64,51.0,12.0
11,2010,22.27,15.06,21.92,7.2,0.34,0.63,148.0,48.0
12,2011,-6.71,2.11,-3.96,-8.83,-2.76,0.59,95.0,77.0
13,2012,21.9,16.0,16.6,5.9,5.3,0.68,77.0,9.0
14,2013,37.07,32.39,35.14,4.68,1.93,0.65,99.0,31.0
15,YTD,11.12,13.98,8.68,-2.85,2.44,2.44,2.44,28.0
