,Year,CLMPX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.29,-2.06,-4.6,-2.23,0.32,0.32,13.0,47.0
1,2000,15.36,11.68,12.79,3.68,2.58,0.91,19.0,1.0
2,2001,3.41,5.13,3.84,-1.72,-0.43,0.89,9.0,62.0
3,2002,8.58,9.6,8.03,-1.02,0.55,0.91,7.0,29.0
4,2003,5.1,5.31,4.27,-0.21,0.84,0.98,10.0,11.0
5,2004,4.51,4.48,4.37,0.03,0.14,0.87,0.87,37.0
6,2005,3.84,3.51,3.93,0.32,-0.09,0.9,7.0,39.0
7,2006,4.84,4.84,4.58,-0.0,0.26,0.83,10.0,32.0
8,2007,1.97,3.36,0.71,-1.39,1.26,0.83,12.0,30.0
9,2008,-6.42,-2.47,-11.05,-3.95,4.63,0.84,12.0,23.0
10,2009,13.79,12.91,17.38,0.87,-3.6,0.84,14.0,68.0
11,2010,2.27,2.38,1.77,-0.11,0.49,0.84,12.0,30.0
12,2011,12.3,10.7,11.74,1.6,0.56,0.81,28.0,25.0
13,2012,10.52,6.78,10.42,3.74,0.1,0.78,14.0,35.0
14,2013,-2.81,-2.55,-3.71,-0.26,0.9,0.78,14.0,21.0
15,YTD,11.69,8.5,11.21,3.19,0.48,0.48,0.48,32.0
