,Year,TRSSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,,,,,,0.75,16.0,16.0
1,2001,7.26,-11.89,-8.91,19.14,16.17,0.74,27.0,13.0
2,2002,-14.36,-22.1,-27.88,7.74,13.52,0.7,19.0,4.0
3,2003,34.84,28.68,45.54,6.15,-10.7,0.69,0.69,87.0
4,2004,19.32,10.88,12.41,8.43,6.91,0.69,0.69,16.0
5,2005,8.96,4.91,6.02,4.05,2.94,0.7,19.0,26.0
6,2006,12.8,15.79,10.81,-2.99,1.99,0.69,22.0,33.0
7,2007,-1.88,5.49,7.59,-7.37,-9.47,0.71,40.0,88.0
8,2008,-33.1,-37.0,-41.55,3.9,8.45,0.74,37.0,5.0
9,2009,39.22,26.46,35.46,12.75,3.76,0.76,37.0,18.0
10,2010,32.96,15.06,26.98,17.9,5.98,0.73,29.0,6.0
11,2011,0.22,2.11,-3.55,-1.89,3.78,0.71,22.0,13.0
12,2012,18.68,16.0,13.15,2.68,5.53,0.7,27.0,7.0
13,2013,39.56,32.39,40.91,7.17,-1.35,0.68,20.0,60.0
14,YTD,4.64,13.98,0.47,-9.34,4.17,4.17,4.17,14.0
