,Year,VINEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,90.29,30.63,49.03,59.66,41.26,1.5,81.0,1.0
1,2000,-2.68,-15.31,-5.91,12.63,3.23,1.5,86.0,27.0
2,2001,-22.52,-19.73,-11.46,-2.78,-11.05,1.5,48.0,65.0
3,2002,-13.88,-14.95,-6.31,1.07,-7.56,1.04,11.0,67.0
4,2003,57.37,40.83,54.37,16.54,3.0,0.73,0.73,31.0
5,2004,31.77,20.91,28.74,10.87,3.03,0.57,0.57,22.0
6,2005,20.49,16.62,23.57,3.87,-3.07,0.48,38.0,52.0
7,2006,30.34,26.65,27.35,3.69,3.0,0.43,32.0,31.0
8,2007,5.15,16.65,5.64,-11.5,-0.49,0.35,45.0,54.0
9,2008,-46.62,-45.53,-45.45,-1.09,-1.17,0.36,29.0,52.0
10,2009,47.12,41.45,42.79,5.67,4.33,0.45,52.0,34.0
11,2010,22.55,11.15,21.01,11.4,1.53,0.39,51.0,48.0
12,2011,-19.74,-13.71,-14.41,-6.03,-5.33,0.42,43.0,90.0
13,2012,17.93,16.83,18.99,1.1,-1.06,0.43,28.0,68.0
14,2013,30.24,15.29,25.35,14.95,4.88,0.36,36.0,27.0
15,YTD,-2.28,-0.27,-3.67,-2.01,1.39,1.39,1.39,25.0
