,Year,PRGIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.78,21.04,38.87,-17.26,-35.09,0.77,20.0,94.0
1,2000,8.97,-9.1,-13.05,18.07,22.01,0.77,80.0,44.0
2,2001,-2.17,-11.89,-22.3,9.72,20.13,0.81,66.0,31.0
3,2002,-23.84,-22.1,-27.64,-1.74,3.8,0.81,45.0,85.0
4,2003,28.22,28.68,28.66,-0.47,-0.44,0.82,0.82,33.0
5,2004,10.82,10.88,7.81,-0.06,3.01,0.78,0.78,34.0
6,2005,2.6,4.91,6.71,-2.31,-4.11,0.76,52.0,87.0
7,2006,14.44,15.79,7.05,-1.35,7.39,0.73,51.0,49.0
8,2007,6.28,5.49,13.35,0.79,-7.07,0.7,31.0,41.0
9,2008,-36.6,-37.0,-40.67,0.4,4.07,0.73,20.0,32.0
10,2009,30.57,26.46,35.68,4.1,-5.12,0.76,18.0,29.0
11,2010,13.92,15.06,15.53,-1.14,-1.61,0.72,8.0,49.0
12,2011,-0.14,2.11,-2.46,-2.25,2.33,0.71,9.0,42.0
13,2012,14.85,16.0,15.34,-1.15,-0.49,0.69,10.0,52.0
14,2013,32.95,32.39,33.92,0.56,-0.97,0.68,14.0,58.0
15,YTD,12.94,13.98,10.79,-1.04,2.15,2.15,2.15,26.0
