,Year,VHCOX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,97.77,21.04,38.87,76.73,58.9,58.9,22.0,1.0
1,2000,18.04,-9.1,-13.05,27.14,31.09,0.62,15.0,20.0
2,2001,-9.68,-11.89,-22.3,2.21,12.62,0.6,20.0,73.0
3,2002,-27.94,-22.1,-27.64,-5.84,-0.3,0.58,14.0,94.0
4,2003,49.55,28.68,28.66,20.87,20.89,0.59,0.59,9.0
5,2004,21.65,10.88,7.81,10.77,13.84,0.52,0.52,3.0
6,2005,8.27,4.91,6.71,3.36,1.55,0.51,12.0,65.0
7,2006,16.78,15.79,7.05,0.98,9.72,0.49,11.0,8.0
8,2007,10.58,5.49,13.35,5.08,-2.78,0.45,14.0,71.0
9,2008,-39.08,-37.0,-40.67,-2.09,1.58,0.45,13.0,39.0
10,2009,48.91,26.46,35.68,22.45,13.23,0.5,12.0,9.0
11,2010,11.06,15.06,15.53,-4.01,-4.47,0.48,8.0,86.0
12,2011,-6.18,2.11,-2.46,-8.3,-3.72,0.48,9.0,84.0
13,2012,18.37,16.0,15.34,2.36,3.03,0.48,9.0,18.0
14,2013,42.69,32.39,33.92,10.3,8.77,0.48,9.0,6.0
15,YTD,19.12,13.98,10.79,5.15,8.33,0.47,7.0,2.0
