,Year,PSILX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,39.49,30.63,40.28,8.86,-0.79,-0.79,20.0,42.0
1,2000,-14.71,-15.31,-16.34,0.6,1.63,1.63,42.0,35.0
2,2001,-19.71,-19.73,-21.67,0.03,1.97,1.97,31.0,34.0
3,2002,-16.61,-14.95,-16.69,-1.66,0.08,0.08,94.0,45.0
4,2003,37.73,40.83,33.58,-3.1,4.15,4.15,4.15,21.0
5,2004,16.36,20.91,17.39,-4.55,-1.03,-1.03,-1.03,63.0
6,2005,19.26,16.62,14.72,2.64,4.54,4.54,3.0,12.0
7,2006,22.6,26.65,24.77,-4.05,-2.17,-2.17,13.0,76.0
8,2007,15.73,16.65,12.71,-0.92,3.02,3.02,1.0,23.0
9,2008,-46.39,-45.53,-43.99,-0.86,-2.4,-2.4,5.0,47.0
10,2009,44.99,41.45,31.24,3.54,13.74,13.74,16.0,22.0
11,2010,13.52,11.15,10.24,2.37,3.29,3.29,9.0,20.0
12,2011,-11.61,-13.71,-13.97,2.1,2.36,2.36,8.0,21.0
13,2012,19.29,16.83,18.29,2.46,1.0,1.0,6.0,29.0
14,2013,18.17,15.29,19.44,2.88,-1.27,-1.27,5.0,65.0
15,YTD,0.63,-0.27,-1.63,0.9,2.26,2.26,2.26,18.0
