,Year,FELAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-7.91,-16.82,-36.89,8.91,28.98,28.98,98.0,4.0
1,2002,-46.48,-19.89,-42.86,-26.59,-3.62,-3.62,100.0,71.0
2,2003,68.31,33.11,55.77,35.21,12.55,1.46,66.0,16.0
3,2004,-12.22,14.72,4.24,-26.95,-16.47,1.48,1.48,96.0
4,2005,13.23,9.49,5.76,3.75,7.47,1.38,128.0,7.0
5,2006,1.97,20.07,7.08,-18.1,-5.11,1.36,95.0,82.0
6,2007,2.77,9.04,16.12,-6.26,-13.35,1.38,97.0,95.0
7,2008,-50.0,-40.71,-45.33,-9.29,-4.67,1.39,93.0,80.0
8,2009,81.65,29.99,61.99,51.66,19.66,1.4,92.0,9.0
9,2010,16.47,11.76,20.0,4.71,-3.52,1.39,87.0,61.0
10,2011,-9.35,-5.54,-7.62,-3.81,-1.74,1.39,166.0,59.0
11,2012,2.7,15.83,13.08,-13.12,-10.38,1.39,140.0,94.0
12,2013,38.04,26.68,35.45,11.36,2.59,1.37,179.0,34.0
13,YTD,31.98,6.66,13.32,25.32,18.66,1.39,156.0,1.0
