,Year,PRMSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,87.44,30.63,70.56,56.81,16.88,1.75,59.0,18.0
1,2000,-26.35,-15.31,-30.33,-11.04,3.98,1.5,56.0,22.0
2,2001,-5.69,-19.73,-3.83,14.05,-1.86,-1.86,70.0,69.0
3,2002,-4.92,-14.95,-6.05,10.02,1.13,1.51,70.0,40.0
4,2003,52.3,40.83,55.19,11.47,-2.9,1.43,1.43,60.0
5,2004,26.98,20.91,23.54,6.08,3.44,1.33,1.33,21.0
6,2005,38.77,16.62,31.54,22.15,7.23,1.27,53.0,14.0
7,2006,32.01,26.65,32.06,5.36,-0.04,1.25,49.0,51.0
8,2007,42.92,16.65,36.68,26.26,6.23,1.2,44.0,15.0
9,2008,-60.54,-45.53,-54.44,-15.02,-6.1,1.24,31.0,92.0
10,2009,85.07,41.45,73.81,43.63,11.26,1.32,37.0,15.0
11,2010,18.75,11.15,19.26,7.6,-0.51,1.27,27.0,44.0
12,2011,-18.84,-13.71,-19.86,-5.14,1.01,1.26,19.0,45.0
13,2012,20.03,16.83,18.15,3.2,1.89,1.27,24.0,33.0
14,2013,-4.69,15.29,-0.14,-19.98,-4.55,1.25,30.0,73.0
15,YTD,7.26,-0.27,1.96,7.53,5.3,5.3,5.3,8.0
