,Year,AEPGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,56.97,30.63,49.56,26.34,7.42,7.42,7.42,17.0
1,2000,-17.84,-15.31,-21.04,-2.53,3.2,0.84,29.0,60.0
2,2001,-12.17,-19.73,-24.05,7.56,11.87,0.84,37.0,4.0
3,2002,-13.61,-14.95,-19.15,1.34,5.54,0.88,27.0,20.0
4,2003,32.91,40.83,33.83,-7.92,-0.92,0.9,29.0,49.0
5,2004,19.69,20.91,16.23,-1.22,3.46,0.87,0.87,20.0
6,2005,21.12,16.62,15.23,4.5,5.89,0.82,30.0,7.0
7,2006,21.87,26.65,23.95,-4.78,-2.08,0.76,35.0,82.0
8,2007,18.96,16.65,16.26,2.3,2.69,0.75,27.0,9.0
9,2008,-40.53,-45.53,-46.56,5.0,6.04,0.74,38.0,13.0
10,2009,39.1,41.45,38.02,-2.35,1.07,0.8,41.0,15.0
11,2010,9.4,11.15,14.78,-1.75,-5.38,0.85,26.0,57.0
12,2011,-13.58,-13.71,-12.3,0.12,-1.28,0.82,31.0,44.0
13,2012,19.21,16.83,17.7,2.38,1.52,0.84,24.0,31.0
14,2013,20.15,15.29,18.58,4.86,1.57,0.86,28.0,46.0
15,YTD,1.41,-0.27,-0.63,1.68,2.03,0.84,28.0,28.0
