,Year,BEGRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,16.79,21.04,20.16,-4.25,-3.37,0.78,68.0,19.0
1,2000,14.33,-9.1,-6.31,23.43,20.63,0.8,62.0,60.0
2,2001,6.11,-11.89,-13.5,18.0,19.62,0.79,55.0,44.0
3,2002,-11.05,-22.1,-22.25,11.05,11.2,0.8,52.0,39.0
4,2003,29.44,28.68,27.05,0.75,2.39,0.86,0.86,67.0
5,2004,14.52,10.88,10.02,3.64,4.5,0.83,0.83,80.0
6,2005,9.25,4.91,5.88,4.34,3.38,0.84,35.0,54.0
7,2006,20.98,15.79,14.17,5.18,6.81,0.82,41.0,15.0
8,2007,3.03,5.49,6.16,-2.46,-3.13,0.81,50.0,39.0
9,2008,-40.37,-37.0,-37.79,-3.37,-2.58,0.84,57.0,75.0
10,2009,29.81,26.46,28.17,3.35,1.64,0.86,54.0,16.0
11,2010,11.1,15.06,14.01,-3.97,-2.91,0.88,35.0,83.0
12,2011,-2.15,2.11,-1.27,-4.26,-0.88,0.84,51.0,59.0
13,2012,16.44,16.0,14.96,0.44,1.48,0.83,43.0,26.0
14,2013,29.11,32.39,31.5,-3.28,-2.39,0.8,33.0,77.0
15,YTD,8.59,13.98,11.28,-5.39,-2.7,-2.7,-2.7,81.0
