,Year,OPPAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,58.48,30.63,41.13,27.85,17.35,17.35,68.0,25.0
1,2000,4.06,-15.31,-9.14,19.38,13.2,1.08,62.0,11.0
2,2001,-11.8,-19.73,-17.51,7.94,5.72,1.12,36.0,29.0
3,2002,-22.45,-14.95,-19.36,-7.5,-3.09,1.23,27.0,73.0
4,2003,43.07,40.83,34.49,2.24,8.59,1.23,46.0,13.0
5,2004,18.67,20.91,15.27,-2.24,3.4,1.15,1.15,19.0
6,2005,13.83,16.62,11.61,-2.79,2.22,1.12,29.0,33.0
7,2006,17.38,26.65,19.72,-9.27,-2.34,1.08,23.0,71.0
8,2007,5.97,16.65,11.28,-10.69,-5.31,1.05,15.0,77.0
9,2008,-41.03,-45.53,-41.91,4.5,0.88,1.09,10.0,43.0
10,2009,39.2,41.45,35.27,-2.24,3.93,1.26,8.0,28.0
11,2010,15.68,11.15,13.74,4.53,1.94,1.2,13.0,30.0
12,2011,-8.69,-13.71,-7.93,5.01,-0.76,1.16,13.0,55.0
13,2012,20.75,16.83,15.84,3.92,4.91,1.22,12.0,17.0
14,2013,26.77,15.29,25.19,11.48,1.58,1.19,11.0,41.0
15,YTD,4.96,-0.27,4.54,5.23,0.43,1.14,11.0,46.0
