,Year,NGCAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,67.79,30.63,64.81,37.16,2.98,2.98,20.0,45.0
1,2000,-0.92,-15.31,-13.77,14.4,12.85,2.15,28.0,4.0
2,2001,-10.53,-19.73,-7.02,9.21,-3.51,2.15,14.0,50.0
3,2002,-12.49,-14.95,-8.68,2.46,-3.81,2.15,16.0,29.0
4,2003,54.83,40.83,64.65,14.0,-9.82,2.15,33.0,69.0
5,2004,14.43,20.91,8.92,-6.48,5.51,1.89,1.89,18.0
6,2005,9.04,16.62,8.4,-7.58,0.64,1.76,24.0,36.0
7,2006,69.5,26.65,63.12,42.85,6.38,1.72,32.0,33.0
8,2007,59.07,16.65,55.45,42.41,3.62,1.59,36.0,44.0
9,2008,-50.08,-45.53,-52.09,-4.55,2.01,1.55,16.0,29.0
10,2009,58.16,41.45,64.47,16.72,-6.3,1.69,39.0,71.0
11,2010,14.58,11.15,13.39,3.43,1.19,1.62,23.0,44.0
12,2011,-23.33,-13.71,-24.95,-9.62,1.62,1.58,36.0,53.0
13,2012,21.15,16.83,18.42,4.32,2.73,1.53,38.0,56.0
14,2013,13.31,15.29,10.71,-1.97,2.6,1.54,39.0,47.0
15,YTD,7.18,-0.27,2.72,7.45,4.45,1.57,61.0,16.0
