,Year,VINTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.41,-2.06,-2.76,0.65,1.34,0.04,39.0,21.0
1,2000,9.94,11.68,9.9,-1.75,0.03,0.58,46.0,49.0
2,2001,4.15,5.13,3.9,-0.98,0.25,0.25,33.0,35.0
3,2002,8.74,9.6,8.65,-0.86,0.09,0.66,75.0,53.0
4,2003,4.18,5.31,4.21,-1.14,-0.04,0.72,38.0,45.0
5,2004,2.5,4.48,2.69,-1.98,-0.19,0.72,0.72,52.0
6,2005,0.91,3.51,1.93,-2.61,-1.02,0.71,25.0,85.0
7,2006,3.17,4.84,3.63,-1.68,-0.47,0.72,0.72,69.0
8,2007,3.86,3.36,2.79,0.5,1.07,0.7,11.0,14.0
9,2008,2.07,-2.47,-2.53,4.55,4.61,0.7,17.0,10.0
10,2009,7.75,12.91,10.89,-5.16,-3.14,0.7,10.0,83.0
11,2010,2.02,2.38,1.68,-0.36,0.34,0.68,6.0,31.0
12,2011,8.48,10.7,8.58,-2.22,-0.1,0.68,6.0,59.0
13,2012,3.65,6.78,4.55,-3.13,-0.9,0.69,5.0,76.0
14,2013,-0.91,-2.55,-2.31,1.64,1.39,0.66,7.0,3.0
15,YTD,4.59,8.5,5.85,-3.92,-1.26,0.64,2.0,83.0
