,Year,FRESX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.97,24.93,-2.76,-25.9,1.8,1.8,1.8,24.0
1,2000,31.38,-13.18,27.02,44.56,4.36,4.36,32.0,16.0
2,2001,9.5,-16.82,10.0,26.32,-0.5,0.82,71.0,39.0
3,2002,5.77,-19.89,4.54,25.65,1.23,0.79,71.0,30.0
4,2003,33.78,33.11,36.8,0.67,-3.02,0.84,32.0,77.0
5,2004,34.15,14.72,32.02,19.43,2.13,0.83,0.83,31.0
6,2005,14.87,9.49,11.51,5.38,3.36,0.82,33.0,22.0
7,2006,32.84,20.07,33.58,12.77,-0.74,0.82,61.0,69.0
8,2007,-21.34,9.04,-14.66,-30.37,-6.67,0.82,47.0,91.0
9,2008,-38.21,-40.71,-39.55,2.5,1.34,0.88,40.0,43.0
10,2009,32.89,29.99,31.26,2.9,1.63,0.92,74.0,19.0
11,2010,29.85,11.76,27.08,18.09,2.77,0.9,46.0,17.0
12,2011,8.29,-5.54,7.51,13.83,0.77,0.85,25.0,46.0
13,2012,18.02,15.83,17.6,2.19,0.42,0.84,26.0,25.0
14,2013,1.53,26.68,1.55,-25.15,-0.02,0.8,26.0,52.0
15,YTD,28.62,6.66,25.93,21.96,2.69,0.8,24.0,18.0
