,Year,FKTIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.79,-2.06,-4.7,-0.73,1.91,1.91,1.91,8.0
1,2000,10.14,11.68,11.24,-1.54,-1.1,-1.1,-1.1,73.0
2,2001,4.63,5.13,3.92,-0.49,0.72,0.6,10.0,19.0
3,2002,7.19,9.6,8.45,-2.42,-1.26,0.6,13.0,79.0
4,2003,5.84,5.31,4.9,0.52,0.94,0.61,13.0,15.0
5,2004,5.39,4.48,3.77,0.91,1.62,0.61,0.61,4.0
6,2005,4.26,3.51,3.1,0.74,1.16,0.61,7.0,8.0
7,2006,5.08,4.84,4.57,0.24,0.51,0.61,8.0,21.0
8,2007,2.72,3.36,1.27,-0.64,1.45,0.61,6.0,14.0
9,2008,-7.05,-2.47,-9.45,-4.58,2.4,0.6,15.0,41.0
10,2009,16.31,12.91,17.3,3.4,-0.99,0.61,7.0,47.0
11,2010,0.86,2.38,1.65,-1.52,-0.8,0.61,8.0,77.0
12,2011,12.12,10.7,10.64,1.42,1.48,0.62,14.0,11.0
13,2012,9.03,6.78,8.87,2.25,0.16,0.62,9.0,44.0
14,2013,-4.46,-2.55,-4.59,-1.91,0.13,0.61,6.0,60.0
15,YTD,10.51,8.5,9.8,2.01,0.72,0.62,9.0,29.0
