,Year,FKDNX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,37.19,21.04,38.87,16.14,-1.69,-1.69,6.0,41.0
1,2000,-12.24,-9.1,-13.05,-3.13,0.81,0.94,5.0,45.0
2,2001,-13.11,-11.89,-22.3,-1.23,9.19,0.95,4.0,15.0
3,2002,-19.87,-22.1,-27.64,2.23,7.77,1.0,8.0,9.0
4,2003,38.64,28.68,28.66,9.96,9.98,1.04,14.0,8.0
5,2004,7.69,10.88,7.81,-3.2,-0.12,0.97,0.97,50.0
6,2005,7.18,4.91,6.71,2.27,0.46,1.0,17.0,42.0
7,2006,2.64,15.79,7.05,-13.15,-4.41,0.97,19.0,84.0
8,2007,23.08,5.49,13.35,17.58,9.72,0.99,18.0,9.0
9,2008,-41.01,-37.0,-40.67,-4.01,-0.34,0.97,41.0,54.0
10,2009,47.11,26.46,35.68,20.65,11.43,1.16,46.0,11.0
11,2010,18.51,15.06,15.53,3.44,2.98,1.03,31.0,24.0
12,2011,-2.47,2.11,-2.46,-4.58,-0.01,0.97,30.0,54.0
13,2012,15.42,16.0,15.34,-0.58,0.08,0.96,17.0,46.0
14,2013,39.67,32.39,33.92,7.29,5.75,0.94,35.0,11.0
15,YTD,9.21,13.98,10.79,-4.77,-1.58,0.89,26.0,72.0
