,Year,OEGAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,0.41,-11.89,-19.98,12.3,20.39,1.58,214.0,27.0
1,2002,-36.78,-22.1,-27.24,-14.68,-9.54,1.78,263.0,83.0
2,2003,63.53,28.68,35.96,34.85,27.58,1.72,1.72,6.0
3,2004,5.35,10.88,13.23,-5.53,-7.88,1.67,1.67,83.0
4,2005,4.61,4.91,9.84,-0.3,-5.23,1.63,207.0,63.0
5,2006,6.75,15.79,9.0,-9.04,-2.25,1.56,213.0,78.0
6,2007,23.35,5.49,15.09,17.86,8.26,1.54,232.0,4.0
7,2008,-38.88,-37.0,-43.77,-1.89,4.89,1.4,134.0,27.0
8,2009,24.16,26.46,39.11,-2.3,-14.95,1.46,143.0,91.0
9,2010,26.38,15.06,24.61,11.32,1.76,1.62,103.0,40.0
10,2011,0.34,2.11,-3.96,-1.77,4.3,1.54,99.0,22.0
11,2012,15.52,16.0,14.07,-0.49,1.44,1.48,76.0,36.0
12,2013,35.02,32.39,34.93,2.63,0.09,1.47,89.0,51.0
13,YTD,5.55,13.98,6.96,-8.42,-1.41,-1.41,-1.41,67.0
