,Year,PNYIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,11.02,11.68,11.93,-0.66,-0.91,-0.91,270.0,73.0
1,2001,6.68,5.13,3.83,1.55,2.85,0.5,257.0,2.0
2,2002,11.59,9.6,8.91,1.99,2.68,0.49,204.0,4.0
3,2003,4.95,5.31,4.96,-0.37,-0.01,0.48,227.0,19.0
4,2004,3.74,4.48,3.69,-0.74,0.05,0.47,0.47,14.0
5,2005,3.12,3.51,3.25,-0.4,-0.14,0.47,42.0,13.0
6,2006,4.8,4.84,4.77,-0.05,0.03,0.46,48.0,6.0
7,2007,2.62,3.36,1.5,-0.74,1.11,0.45,29.0,60.0
8,2008,-4.53,-2.47,-9.21,-2.05,4.69,0.45,44.0,68.0
9,2009,13.29,12.91,18.31,0.37,-5.02,0.45,121.0,26.0
10,2010,3.37,2.38,1.7,0.99,1.68,0.45,29.0,3.0
11,2011,7.05,10.7,9.85,-3.65,-2.79,0.44,25.0,95.0
12,2012,7.18,6.78,8.18,0.4,-1.01,0.44,26.0,58.0
13,2013,-2.79,-2.55,-5.32,-0.24,2.53,0.44,14.0,1.0
14,YTD,9.25,8.5,9.94,0.75,-0.68,0.44,23.0,54.0
