,Year,VMGRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,83.33,21.04,60.49,62.29,22.84,1.39,174.0,2.0
1,2000,12.96,-9.1,-4.78,22.06,17.73,2.14,206.0,16.0
2,2001,-25.37,-11.89,-19.98,-13.48,-5.39,1.39,149.0,67.0
3,2002,-28.54,-22.1,-27.24,-6.44,-1.3,1.24,44.0,57.0
4,2003,42.81,28.68,35.96,14.13,6.86,0.48,0.48,18.0
5,2004,11.38,10.88,13.23,0.5,-1.85,0.34,0.34,65.0
6,2005,9.13,4.91,9.84,4.22,-0.71,0.39,80.0,59.0
7,2006,12.72,15.79,9.0,-3.07,3.72,0.47,159.0,23.0
8,2007,14.69,5.49,15.09,9.2,-0.4,0.53,70.0,50.0
9,2008,-39.59,-37.0,-43.77,-2.59,4.18,0.55,85.0,20.0
10,2009,38.42,26.46,39.11,11.96,-0.69,0.58,125.0,57.0
11,2010,23.83,15.06,24.61,8.77,-0.79,0.51,88.0,58.0
12,2011,1.17,2.11,-3.96,-0.94,5.13,0.53,127.0,19.0
13,2012,14.84,16.0,14.07,-1.17,0.76,0.54,97.0,44.0
14,2013,34.15,32.39,34.93,1.76,-0.78,0.51,83.0,59.0
15,YTD,10.8,13.98,6.96,-3.18,3.84,3.84,3.84,18.0
