,Year,FREEX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-5.63,24.93,-2.76,-30.57,-2.87,-2.87,26.0,78.0
1,2000,30.84,-13.18,27.02,44.02,3.83,1.02,25.0,24.0
2,2001,7.64,-16.82,10.0,24.46,-2.36,1.04,29.0,69.0
3,2002,1.7,-19.89,4.54,21.58,-2.84,0.96,37.0,86.0
4,2003,37.64,33.11,36.8,4.53,0.84,0.98,30.0,35.0
5,2004,32.13,14.72,32.02,17.41,0.11,1.01,1.01,54.0
6,2005,13.22,9.49,11.51,3.74,1.72,0.92,37.0,41.0
7,2006,21.28,20.07,33.58,1.21,-12.3,0.88,42.0,94.0
8,2007,-27.78,9.04,-14.66,-36.82,-13.12,0.96,16.0,98.0
9,2008,-38.12,-40.71,-39.55,2.59,1.43,0.99,94.0,42.0
10,2009,17.16,29.99,31.26,-12.83,-14.1,1.22,134.0,99.0
11,2010,26.9,11.76,27.08,15.14,-0.18,1.32,58.0,56.0
12,2011,9.23,-5.54,7.51,14.77,1.72,1.18,40.0,29.0
13,2012,15.79,15.83,17.6,-0.04,-1.81,1.14,23.0,75.0
14,2013,2.17,26.68,1.55,-24.51,0.62,1.03,23.0,32.0
15,YTD,27.71,6.66,25.93,21.05,1.78,1.04,17.0,34.0
