,Year,VISGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,19.8,21.04,64.77,-1.24,-44.97,0.25,82.0,86.0
1,2000,1.59,-9.1,-3.85,10.69,5.44,0.27,136.0,35.0
2,2001,-0.78,-11.89,-8.91,11.11,8.14,0.27,74.0,29.0
3,2002,-15.41,-22.1,-27.88,6.69,12.47,0.27,61.0,6.0
4,2003,42.88,28.68,45.54,14.2,-2.66,0.27,0.27,57.0
5,2004,16.06,10.88,12.41,5.18,3.65,0.23,0.23,29.0
6,2005,8.64,4.91,6.02,3.72,2.61,0.23,39.0,28.0
7,2006,11.95,15.79,10.81,-3.84,1.14,0.23,40.0,39.0
8,2007,9.63,5.49,7.59,4.13,2.04,0.22,32.0,40.0
9,2008,-40.0,-37.0,-41.55,-3.0,1.55,0.23,38.0,38.0
10,2009,41.85,26.46,35.46,15.38,6.39,0.28,38.0,26.0
11,2010,30.69,15.06,26.98,15.63,3.71,0.26,34.0,29.0
12,2011,-1.58,2.11,-3.55,-3.69,1.98,0.24,40.0,33.0
13,2012,17.52,16.0,13.15,1.52,4.37,0.24,37.0,11.0
14,2013,37.98,32.39,40.91,5.59,-2.93,0.24,50.0,66.0
15,YTD,3.12,13.98,0.47,-10.85,2.65,2.65,2.65,28.0
