,Year,FSMIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.49,-0.82,-1.35,2.31,2.83,2.83,42.0,4.0
1,2000,11.93,11.63,9.44,0.31,2.5,0.57,42.0,19.0
2,2001,8.42,8.44,7.64,-0.03,0.77,0.77,88.0,5.0
3,2002,8.8,10.26,8.04,-1.46,0.76,0.25,87.0,51.0
4,2003,2.88,4.1,5.1,-1.22,-2.22,0.52,288.0,11.0
5,2004,4.53,4.34,3.91,0.19,0.62,0.54,0.54,27.0
6,2005,2.27,2.43,1.8,-0.15,0.47,0.55,160.0,24.0
7,2006,4.6,4.33,4.15,0.27,0.46,0.55,247.0,22.0
8,2007,4.28,6.97,4.7,-2.69,-0.43,0.57,327.0,70.0
9,2008,-6.37,5.24,-4.7,-11.62,-1.68,0.57,336.0,61.0
10,2009,10.54,5.93,13.97,4.61,-3.44,0.67,273.0,64.0
11,2010,11.39,6.54,7.72,4.85,3.68,0.7,341.0,5.0
12,2011,6.85,7.84,5.86,-0.99,0.99,0.65,540.0,32.0
13,2012,6.06,4.21,7.01,1.84,-0.95,0.76,595.0,59.0
14,2013,0.77,-2.02,-1.42,2.8,2.2,0.71,675.0,7.0
15,YTD,6.34,5.87,5.34,0.48,1.0,0.81,515.0,18.0
