,Year,TAFTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.97,-2.06,-4.6,0.09,2.63,2.63,23.0,63.0
1,2000,11.22,11.68,12.79,-0.47,-1.57,0.72,42.0,25.0
2,2001,3.83,5.13,3.84,-1.29,-0.0,0.69,27.0,73.0
3,2002,8.13,9.6,8.03,-1.48,0.09,0.68,11.0,39.0
4,2003,4.83,5.31,4.27,-0.48,0.57,0.68,16.0,4.0
5,2004,4.62,4.48,4.37,0.14,0.25,0.7,0.7,2.0
6,2005,3.83,3.51,3.93,0.31,-0.1,0.62,11.0,6.0
7,2006,4.9,4.84,4.58,0.06,0.32,0.6,14.0,6.0
8,2007,0.35,3.36,0.71,-3.01,-0.36,0.59,8.0,88.0
9,2008,-12.04,-2.47,-11.05,-9.57,-0.99,0.58,16.0,91.0
10,2009,20.14,12.91,17.38,7.22,2.75,0.62,17.0,6.0
11,2010,3.31,2.38,1.77,0.93,1.54,0.62,18.0,19.0
12,2011,11.61,10.7,11.74,0.91,-0.13,0.64,10.0,47.0
13,2012,9.96,6.78,10.42,3.18,-0.46,0.63,15.0,47.0
14,2013,-2.31,-2.55,-3.71,0.24,1.4,0.63,22.0,10.0
15,YTD,10.21,8.5,11.21,1.7,-1.01,0.63,8.0,64.0
