,Year,WFSPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.5,21.04,20.16,-0.54,0.35,0.2,11.0,43.0
1,2000,-9.34,-9.1,-6.31,-0.23,-3.03,0.2,0.2,59.0
2,2001,-12.11,-11.89,-13.5,-0.22,1.39,0.2,0.2,39.0
3,2002,-22.2,-22.1,-22.25,-0.1,0.05,0.2,0.2,42.0
4,2003,28.37,28.68,27.05,-0.32,1.32,0.2,0.2,29.0
5,2004,10.68,10.88,10.02,-0.2,0.66,0.2,0.2,37.0
6,2005,4.71,4.91,5.88,-0.2,-1.17,0.2,10.0,61.0
7,2006,15.6,15.79,14.17,-0.2,1.43,0.2,14.0,25.0
8,2007,5.36,5.49,6.16,-0.14,-0.8,0.2,7.0,51.0
9,2008,-37.01,-37.0,-37.79,-0.02,0.78,0.2,8.0,38.0
10,2009,26.49,26.46,28.17,0.02,-1.68,0.2,5.0,54.0
11,2010,14.92,15.06,14.01,-0.15,0.91,0.2,9.0,31.0
12,2011,1.98,2.11,-1.27,-0.13,3.25,0.18,0.18,18.0
13,2012,15.84,16.0,14.96,-0.16,0.88,0.18,10.0,38.0
14,2013,32.21,32.39,31.5,-0.17,0.71,0.16,2.0,44.0
15,YTD,13.9,13.98,11.28,-0.08,2.62,2.62,2.62,18.0
