,Year,FNJHX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.46,-2.06,-4.41,0.6,2.95,0.55,19.0,7.0
1,2000,11.4,11.68,10.78,-0.29,0.62,0.45,49.0,28.0
2,2001,4.21,5.13,4.05,-0.92,0.16,0.41,14.0,44.0
3,2002,9.74,9.6,8.13,0.14,1.61,0.47,21.0,10.0
4,2003,5.42,5.31,4.68,0.1,0.73,0.49,0.49,17.0
5,2004,3.9,4.48,3.55,-0.58,0.35,0.48,0.48,38.0
6,2005,3.35,3.51,3.38,-0.16,-0.03,0.43,36.0,39.0
7,2006,4.65,4.84,4.65,-0.2,-0.01,0.41,17.0,39.0
8,2007,3.64,3.36,1.43,0.28,2.21,0.43,10.0,8.0
9,2008,-3.0,-2.47,-8.16,-0.52,5.16,0.45,19.0,21.0
10,2009,11.76,12.91,17.34,-1.15,-5.58,0.47,6.0,87.0
11,2010,2.09,2.38,1.38,-0.29,0.71,0.47,5.0,27.0
12,2011,9.72,10.7,10.38,-0.98,-0.66,0.48,7.0,77.0
13,2012,6.37,6.78,8.37,-0.41,-2.0,0.47,11.0,83.0
14,2013,-2.91,-2.55,-5.14,-0.35,2.23,0.47,18.0,7.0
15,YTD,8.13,8.5,9.39,-0.37,-1.26,-1.26,-1.26,69.0
