,Year,PMBAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.39,-2.06,-4.7,-1.33,1.32,1.32,1.32,19.0
1,2000,11.49,11.68,11.24,-0.2,0.24,0.24,44.0,45.0
2,2001,4.1,5.13,3.92,-1.03,0.18,0.83,34.0,34.0
3,2002,9.49,9.6,8.45,-0.11,1.04,0.83,11.0,26.0
4,2003,4.39,5.31,4.9,-0.92,-0.5,0.83,12.0,34.0
5,2004,3.77,4.48,3.77,-0.71,-0.0,0.84,0.84,12.0
6,2005,2.27,3.51,3.1,-1.24,-0.82,0.79,43.0,30.0
7,2006,4.01,4.84,4.57,-0.84,-0.56,0.75,30.0,28.0
8,2007,2.89,3.36,1.27,-0.47,1.63,0.75,31.0,54.0
9,2008,-1.7,-2.47,-9.45,0.78,7.75,0.75,30.0,49.0
10,2009,10.25,12.91,17.3,-2.67,-7.05,0.75,30.0,57.0
11,2010,1.19,2.38,1.65,-1.19,-0.47,0.75,10.0,81.0
12,2011,7.98,10.7,10.64,-2.72,-2.66,0.75,1.0,71.0
13,2012,6.41,6.78,8.87,-0.37,-2.46,0.75,24.0,26.0
14,2013,-2.49,-2.55,-4.59,0.06,2.1,0.74,43.0,58.0
15,YTD,8.97,8.5,9.8,0.47,-0.83,0.74,62.0,76.0
