,Year,AMCPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.78,21.04,38.87,0.73,-17.1,-17.1,36.0,84.0
1,2000,7.5,-9.1,-13.05,16.6,20.54,0.68,34.0,3.0
2,2001,-5.01,-11.89,-22.3,6.87,17.29,0.67,39.0,3.0
3,2002,-18.66,-22.1,-27.64,3.44,8.98,0.71,25.0,7.0
4,2003,29.64,28.68,28.66,0.96,0.98,0.77,18.0,35.0
5,2004,9.8,10.88,7.81,-1.08,2.0,0.73,0.73,31.0
6,2005,6.98,4.91,6.71,2.07,0.26,0.68,16.0,44.0
7,2006,8.63,15.79,7.05,-7.16,1.58,0.65,20.0,35.0
8,2007,7.5,5.49,13.35,2.0,-5.86,0.65,20.0,79.0
9,2008,-37.68,-37.0,-40.67,-0.68,2.99,0.65,29.0,26.0
10,2009,39.21,26.46,35.68,12.74,3.52,0.71,37.0,30.0
11,2010,13.98,15.06,15.53,-1.08,-1.55,0.78,29.0,62.0
12,2011,0.38,2.11,-2.46,-1.73,2.84,0.73,28.0,26.0
13,2012,15.67,16.0,15.34,-0.33,0.33,0.73,31.0,43.0
14,2013,36.86,32.39,33.92,4.47,2.94,0.74,27.0,21.0
15,YTD,12.82,13.98,10.79,-1.16,2.03,0.7,29.0,28.0
