,Year,FKITX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.84,-2.06,-2.06,0.22,0.23,0.23,17.0,50.0
1,2000,7.43,11.68,9.16,-4.26,-1.73,0.73,31.0,90.0
2,2001,5.57,5.13,4.39,0.44,1.18,0.76,9.0,6.0
3,2002,8.93,9.6,8.57,-0.67,0.36,0.77,7.0,38.0
4,2003,5.34,5.31,4.1,0.02,1.24,0.72,5.0,5.0
5,2004,3.71,4.48,2.83,-0.77,0.88,0.7,0.7,15.0
6,2005,2.15,3.51,1.8,-1.36,0.35,0.69,9.0,34.0
7,2006,4.07,4.84,3.67,-0.77,0.4,0.69,13.0,27.0
8,2007,3.25,3.36,2.75,-0.11,0.5,0.69,9.0,37.0
9,2008,-2.37,-2.47,-2.32,0.11,-0.05,0.71,17.0,57.0
10,2009,11.16,12.91,11.41,-1.76,-0.25,0.68,13.0,48.0
11,2010,3.14,2.38,2.22,0.77,0.92,0.67,4.0,20.0
12,2011,11.19,10.7,9.0,0.49,2.19,0.66,10.0,8.0
13,2012,5.57,6.78,5.62,-1.21,-0.06,0.66,6.0,42.0
14,2013,-2.49,-2.55,-2.27,0.06,-0.22,0.65,2.0,58.0
15,YTD,6.46,8.5,6.44,-2.05,0.01,0.65,9.0,46.0
