,Year,AMRMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.12,21.04,6.72,-21.16,-6.84,0.57,42.0,77.0
1,2000,9.12,-9.1,7.87,18.23,1.26,0.59,29.0,43.0
2,2001,6.67,-11.89,-4.99,18.56,11.66,0.59,45.0,6.0
3,2002,-12.18,-22.1,-18.69,9.92,6.52,0.6,31.0,6.0
4,2003,23.32,28.68,28.44,-5.37,-5.12,0.62,0.62,87.0
5,2004,10.74,10.88,12.97,-0.14,-2.23,0.6,0.6,73.0
6,2005,4.94,4.91,5.95,0.03,-1.01,0.56,22.0,58.0
7,2006,16.24,15.79,18.15,0.45,-1.91,0.55,19.0,74.0
8,2007,3.32,5.49,1.42,-2.17,1.9,0.56,19.0,36.0
9,2008,-30.04,-37.0,-37.09,6.96,7.05,0.57,23.0,8.0
10,2009,25.43,26.46,24.13,-1.03,1.3,0.66,27.0,36.0
11,2010,12.23,15.06,13.66,-2.84,-1.43,0.63,20.0,68.0
12,2011,4.77,2.11,-0.75,2.66,5.52,0.62,23.0,17.0
13,2012,12.33,16.0,14.57,-3.68,-2.24,0.63,22.0,77.0
14,2013,27.91,32.39,31.21,-4.47,-3.3,0.61,18.0,81.0
15,YTD,13.26,13.98,10.25,-0.72,3.01,3.01,3.01,9.0
