,Year,EFIPX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.65,-0.82,2.21,1.48,-1.56,-1.56,138.0,85.0
1,2000,9.69,11.63,7.59,-1.94,2.09,0.65,153.0,11.0
2,2001,8.08,8.44,7.27,-0.36,0.81,0.66,112.0,23.0
3,2002,10.31,10.26,5.47,0.06,4.84,0.67,121.0,1.0
4,2003,4.77,4.1,2.54,0.67,2.23,0.66,0.66,41.0
5,2004,3.58,4.34,1.63,-0.76,1.95,0.7,0.7,63.0
6,2005,1.68,2.43,1.45,-0.75,0.23,0.63,73.0,58.0
7,2006,4.24,4.33,4.05,-0.09,0.19,0.57,43.0,36.0
8,2007,3.42,6.97,4.29,-3.55,-0.87,0.55,89.0,83.0
9,2008,-6.98,5.24,-4.23,-12.22,-2.75,0.53,81.0,63.0
10,2009,17.71,5.93,9.3,11.78,8.4,0.54,73.0,24.0
11,2010,7.9,6.54,4.11,1.36,3.79,0.57,107.0,40.0
12,2011,6.18,7.84,1.66,-1.67,4.51,0.58,108.0,53.0
13,2012,4.83,4.21,3.67,0.62,1.16,0.58,129.0,77.0
14,2013,-0.2,-2.02,0.45,1.83,-0.65,0.57,112.0,75.0
15,YTD,2.39,5.87,1.45,-3.48,0.94,0.53,94.0,10.0
