,Year,FLATX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,54.9,30.63,59.58,24.27,-4.68,-4.68,49.0,76.0
1,2000,-17.46,-15.31,-15.05,-2.15,-2.41,1.23,51.0,56.0
2,2001,-6.04,-19.73,-5.85,13.69,-0.19,1.35,96.0,50.0
3,2002,-20.85,-14.95,-20.3,-5.9,-0.55,1.41,157.0,53.0
4,2003,65.78,40.83,61.76,24.95,4.02,1.31,1.31,24.0
5,2004,41.11,20.91,38.58,20.2,2.52,1.16,1.16,29.0
6,2005,55.17,16.62,53.89,38.55,1.28,1.04,40.0,15.0
7,2006,44.33,26.65,44.35,17.67,-0.02,1.02,60.0,43.0
8,2007,43.71,16.65,45.77,27.06,-2.06,0.98,52.0,53.0
9,2008,-54.64,-45.53,-59.15,-9.11,4.51,1.0,99.0,15.0
10,2009,91.6,41.45,115.54,50.15,-23.94,1.05,52.0,80.0
11,2010,16.49,11.15,15.45,5.34,1.04,1.01,56.0,50.0
12,2011,-15.79,-13.71,-22.64,-2.08,6.85,1.0,11.0,1.0
13,2012,4.11,16.83,9.78,-12.72,-5.66,1.02,23.0,79.0
14,2013,-17.23,15.29,-11.96,-32.52,-5.28,1.03,23.0,83.0
15,YTD,-7.81,-0.27,-4.65,-7.54,-3.16,-3.16,-3.16,68.0
