,Year,FAVFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,19.84,10.88,17.85,8.95,1.99,1.48,1.48,36.0
1,2005,13.16,4.91,8.82,8.25,4.34,1.26,25.0,9.0
2,2006,14.36,15.79,15.87,-1.44,-1.52,1.24,35.0,68.0
3,2007,1.69,5.49,0.83,-3.81,0.86,1.24,35.0,46.0
4,2008,-46.52,-37.0,-36.77,-9.52,-9.75,1.25,49.0,98.0
5,2009,42.94,26.46,35.41,16.47,7.52,1.25,58.0,13.0
6,2010,21.7,15.06,21.92,6.63,-0.23,1.24,152.0,54.0
7,2011,-7.12,2.11,-3.96,-9.23,-3.16,1.24,96.0,81.0
8,2012,21.09,16.0,16.6,5.09,4.49,1.25,77.0,11.0
9,2013,36.32,32.39,35.14,3.93,1.17,1.23,103.0,37.0
10,YTD,10.73,13.98,8.68,-3.25,2.05,2.05,2.05,29.0
