,Year,FKCGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,95.17,21.04,38.87,74.13,56.29,56.29,53.0,17.0
1,2000,-7.04,-9.1,-13.05,2.06,6.01,0.88,61.0,52.0
2,2001,-23.23,-11.89,-22.3,-11.34,-0.93,0.88,35.0,60.0
3,2002,-24.94,-22.1,-27.64,-2.84,2.71,1.0,49.0,37.0
4,2003,40.48,28.68,28.66,11.79,11.82,1.07,33.0,25.0
5,2004,12.96,10.88,7.81,2.08,5.15,1.01,1.01,52.0
6,2005,6.21,4.91,6.71,1.3,-0.5,0.96,42.0,76.0
7,2006,5.76,15.79,7.05,-10.03,-1.29,0.93,67.0,64.0
8,2007,16.02,5.49,13.35,10.53,2.67,0.96,63.0,34.0
9,2008,-36.27,-37.0,-40.67,0.73,4.4,0.93,36.0,15.0
10,2009,34.19,26.46,35.68,7.72,-1.5,1.0,36.0,51.0
11,2010,16.28,15.06,15.53,1.22,0.76,0.99,48.0,41.0
12,2011,-4.02,2.11,-2.46,-6.13,-1.56,0.98,51.0,66.0
13,2012,9.6,16.0,15.34,-6.41,-5.74,0.98,50.0,95.0
14,2013,37.17,32.39,33.92,4.78,3.25,0.99,63.0,19.0
15,YTD,7.8,13.98,10.79,-6.18,-2.99,0.97,41.0,83.0
