,Year,OIGAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,60.42,30.63,49.56,29.79,10.86,1.55,75.0,28.0
1,2000,-9.58,-15.31,-21.04,5.73,11.46,1.38,61.0,4.0
2,2001,-23.42,-19.73,-24.05,-3.69,0.63,1.42,33.0,47.0
3,2002,-26.7,-14.95,-19.15,-11.75,-7.55,1.56,46.0,91.0
4,2003,53.2,40.83,33.83,12.38,19.37,1.42,1.42,1.0
5,2004,16.46,20.91,16.23,-4.44,0.23,1.43,1.43,43.0
6,2005,14.08,16.62,15.23,-2.54,-1.15,1.41,26.0,56.0
7,2006,29.61,26.65,23.95,2.96,5.66,1.28,12.0,6.0
8,2007,12.38,16.65,16.26,-4.27,-3.88,1.2,8.0,79.0
9,2008,-41.51,-45.53,-46.56,4.01,5.05,1.25,21.0,13.0
10,2009,37.78,41.45,38.02,-3.67,-0.25,1.34,13.0,43.0
11,2010,14.69,11.15,14.78,3.54,-0.09,1.34,23.0,39.0
12,2011,-7.71,-13.71,-12.3,6.0,4.59,1.32,19.0,16.0
13,2012,21.62,16.83,17.7,4.79,3.92,1.28,15.0,14.0
14,2013,25.11,15.29,18.58,9.82,6.53,1.2,12.0,8.0
15,YTD,-4.95,-0.27,-0.63,-4.68,-4.33,-4.33,-4.33,90.0
