,Year,AUSAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,23.02,21.04,64.77,1.98,-41.75,1.15,49.0,32.0
1,2000,-8.99,-9.1,-3.85,0.11,-5.14,1.15,39.0,94.0
2,2001,19.25,-11.89,-8.91,31.14,28.17,1.17,24.0,14.0
3,2002,-18.49,-22.1,-27.88,3.61,9.39,1.17,31.0,14.0
4,2003,47.13,28.68,45.54,18.44,1.59,1.11,1.11,35.0
5,2004,20.62,10.88,12.41,9.74,8.21,1.09,1.09,13.0
6,2005,12.98,4.91,6.02,8.06,6.95,1.01,13.0,8.0
7,2006,8.28,15.79,10.81,-7.51,-2.53,0.97,13.0,68.0
8,2007,3.46,5.49,7.59,-2.03,-4.13,0.98,21.0,68.0
9,2008,-39.22,-37.0,-41.55,-2.23,2.33,1.01,23.0,31.0
10,2009,41.49,26.46,35.46,15.02,6.03,1.03,28.0,26.0
11,2010,23.16,15.06,26.98,8.09,-3.83,1.01,32.0,75.0
12,2011,-4.95,2.11,-3.55,-7.06,-1.4,1.0,20.0,64.0
13,2012,18.98,16.0,13.15,2.98,5.83,1.07,14.0,6.0
14,2013,32.72,32.39,40.91,0.33,-8.19,1.06,17.0,90.0
15,YTD,1.42,13.98,0.47,-12.55,0.96,0.96,0.96,43.0
