,Year,FRSTX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.33,-0.82,2.89,3.15,-0.57,-0.57,49.0,48.0
1,2000,2.6,11.63,1.73,-9.03,0.87,0.75,44.0,38.0
2,2001,5.4,8.44,4.22,-3.04,1.18,0.75,36.0,43.0
3,2002,4.7,10.26,6.76,-5.55,-2.06,0.84,50.0,75.0
4,2003,22.08,4.1,16.18,17.98,5.9,0.88,68.0,15.0
5,2004,9.86,4.34,8.38,5.52,1.48,0.92,0.92,21.0
6,2005,1.5,2.43,2.12,-0.93,-0.61,0.91,49.0,70.0
7,2006,8.2,4.33,6.9,3.87,1.3,0.91,34.0,17.0
8,2007,5.87,6.97,4.45,-1.1,1.42,0.92,42.0,31.0
9,2008,-10.94,5.24,-15.41,-16.18,4.47,0.88,31.0,27.0
10,2009,25.55,5.93,29.22,19.62,-3.67,0.89,49.0,64.0
11,2010,10.86,6.54,10.86,4.32,0.0,0.88,56.0,50.0
12,2011,2.65,7.84,3.37,-5.19,-0.71,0.88,67.0,65.0
13,2012,12.35,4.21,11.71,8.13,0.64,0.89,36.0,41.0
14,2013,3.2,-2.02,1.87,5.22,1.33,0.87,47.0,28.0
15,YTD,3.33,5.87,4.67,-2.54,-1.34,0.86,54.0,82.0
