,Year,SMDMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.18,-2.06,-2.66,-0.12,0.48,0.48,0.48,4.0
1,2000,11.01,11.68,9.62,-0.67,1.39,0.55,27.0,44.0
2,2001,4.75,5.13,4.37,-0.38,0.37,0.4,11.0,28.0
3,2002,8.64,9.6,8.12,-0.96,0.52,0.47,3.0,40.0
4,2003,5.02,5.31,4.03,-0.3,0.98,0.52,30.0,15.0
5,2004,4.06,4.48,2.88,-0.42,1.18,0.53,0.53,12.0
6,2005,2.55,3.51,2.08,-0.96,0.47,0.51,17.0,27.0
7,2006,4.17,4.84,3.77,-0.68,0.39,0.5,22.0,21.0
8,2007,3.02,3.36,2.05,-0.34,0.96,0.48,18.0,34.0
9,2008,-3.98,-2.47,-2.81,-1.51,-1.18,0.5,12.0,67.0
10,2009,13.78,12.91,11.29,0.86,2.49,0.54,23.0,18.0
11,2010,2.27,2.38,1.65,-0.11,0.62,0.55,2.0,22.0
12,2011,8.92,10.7,8.9,-1.78,0.02,0.55,22.0,46.0
13,2012,5.32,6.78,4.75,-1.46,0.56,0.55,10.0,31.0
14,2013,-3.16,-2.55,-2.82,-0.61,-0.34,0.55,16.0,72.0
15,YTD,8.04,8.5,6.39,-0.46,1.65,0.55,17.0,19.0
