,Year,FACDX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.75,24.93,18.58,-23.19,-16.83,-16.83,-16.83,68.0
1,2000,36.2,-13.18,56.75,49.38,-20.55,1.18,51.0,79.0
2,2001,-15.07,-16.82,-11.26,1.76,-3.81,1.17,71.0,62.0
3,2002,-18.19,-19.89,-28.13,1.7,9.95,1.24,143.0,12.0
4,2003,15.63,33.11,32.51,-17.48,-16.88,1.27,120.0,95.0
5,2004,8.01,14.72,9.84,-6.71,-1.83,1.29,1.29,59.0
6,2005,16.34,9.49,9.64,6.86,6.7,1.26,71.0,12.0
7,2006,6.04,20.07,4.27,-14.03,1.77,1.21,99.0,35.0
8,2007,9.67,9.04,9.27,0.64,0.41,1.21,141.0,41.0
9,2008,-33.01,-40.71,-23.43,7.7,-9.58,1.19,134.0,95.0
10,2009,31.83,29.99,22.48,1.84,9.35,1.23,172.0,10.0
11,2010,16.93,11.76,8.38,5.17,8.55,1.21,103.0,9.0
12,2011,7.66,-5.54,7.66,13.2,-0.0,1.18,125.0,48.0
13,2012,19.68,15.83,21.55,3.85,-1.87,1.18,124.0,47.0
14,2013,55.7,26.68,48.17,29.03,7.53,1.13,92.0,19.0
15,YTD,31.89,6.66,26.63,25.23,5.25,1.07,111.0,14.0
