,Year,TFVAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.52,-2.06,-2.66,-0.47,0.14,0.14,13.0,71.0
1,2000,10.03,11.68,9.62,-1.65,0.41,0.8,22.0,34.0
2,2001,4.53,5.13,4.37,-0.59,0.16,0.78,5.0,36.0
3,2002,8.92,9.6,8.12,-0.68,0.81,0.73,10.0,27.0
4,2003,4.17,5.31,4.03,-1.14,0.14,0.71,4.0,43.0
5,2004,3.03,4.48,2.88,-1.44,0.16,0.7,0.7,41.0
6,2005,2.35,3.51,2.08,-1.17,0.27,0.67,13.0,38.0
7,2006,3.99,4.84,3.77,-0.86,0.21,0.67,4.0,33.0
8,2007,1.79,3.36,2.05,-1.57,-0.26,0.65,11.0,70.0
9,2008,-3.78,-2.47,-2.81,-1.31,-0.97,0.64,8.0,64.0
10,2009,12.55,12.91,11.29,-0.36,1.26,0.66,10.0,28.0
11,2010,1.91,2.38,1.65,-0.47,0.26,0.66,12.0,39.0
12,2011,9.71,10.7,8.9,-0.99,0.81,0.65,10.0,25.0
13,2012,5.65,6.78,4.75,-1.13,0.9,0.66,9.0,25.0
14,2013,-3.17,-2.55,-2.82,-0.62,-0.35,0.65,15.0,72.0
15,YTD,6.86,8.5,6.39,-1.64,0.47,0.67,12.0,32.0
