,Year,ACFFX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,81.6,30.63,83.28,50.97,-1.68,1.48,60.0,44.0
1,2000,-13.35,-15.31,-15.12,1.97,1.77,0.83,116.0,51.0
2,2001,-29.05,-19.73,-24.44,-9.32,-4.61,1.33,82.0,67.0
3,2002,-14.89,-14.95,-15.43,0.06,0.55,1.45,102.0,43.0
4,2003,41.79,40.83,54.17,0.96,-12.38,1.45,1.45,86.0
5,2004,24.14,20.91,24.38,3.24,-0.24,1.45,1.45,48.0
6,2005,15.98,16.62,24.86,-0.64,-8.89,1.45,39.0,92.0
7,2006,36.27,26.65,26.79,9.61,9.48,1.27,47.0,8.0
8,2007,21.86,16.65,12.03,5.21,9.83,1.18,57.0,11.0
9,2008,-42.1,-45.53,-49.02,3.43,6.93,1.21,68.0,3.0
10,2009,31.52,41.45,49.24,-9.93,-17.72,1.2,56.0,93.0
11,2010,21.89,11.15,23.04,10.73,-1.15,1.16,42.0,54.0
12,2011,-9.76,-13.71,-14.72,3.95,4.96,1.14,44.0,9.0
13,2012,22.42,16.83,22.2,5.59,0.22,1.19,63.0,43.0
14,2013,14.75,15.29,26.61,-0.54,-11.86,1.19,72.0,91.0
15,YTD,-3.63,-0.27,-3.86,-3.36,0.22,0.22,0.22,50.0
