,Year,MDGCX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,106.69,30.63,41.13,76.06,65.56,65.56,228.0,4.0
1,2000,11.69,-15.31,-9.14,27.0,20.83,1.64,215.0,4.0
2,2001,-9.77,-19.73,-17.51,9.97,7.75,1.54,180.0,20.0
3,2002,-17.03,-14.95,-19.36,-2.08,2.33,1.51,138.0,29.0
4,2003,47.78,40.83,34.49,6.95,13.29,1.58,156.0,9.0
5,2004,13.77,20.91,15.27,-7.14,-1.5,1.45,1.45,64.0
6,2005,12.59,16.62,11.61,-4.03,0.98,1.42,97.0,44.0
7,2006,18.18,26.65,19.72,-8.47,-1.54,1.46,96.0,63.0
8,2007,16.39,16.65,11.28,-0.27,5.11,1.42,95.0,22.0
9,2008,-37.75,-45.53,-41.91,7.78,4.16,1.39,97.0,21.0
10,2009,34.72,41.45,35.27,-6.73,-0.55,1.5,114.0,41.0
11,2010,18.31,11.15,13.74,7.16,4.57,1.42,73.0,20.0
12,2011,-10.68,-13.71,-7.93,3.02,-2.75,1.38,82.0,71.0
13,2012,16.56,16.83,15.84,-0.27,0.72,1.42,73.0,47.0
14,2013,35.4,15.29,25.19,20.11,10.21,1.4,73.0,9.0
15,YTD,0.11,-0.27,4.54,0.38,-4.43,1.37,77.0,86.0
