,Year,CWGIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,27.3,30.63,41.13,-3.33,-13.82,0.79,34.0,64.0
1,2000,1.38,-15.31,-9.14,16.69,10.52,0.79,41.0,17.0
2,2001,-4.96,-19.73,-17.51,14.77,12.55,0.78,45.0,9.0
3,2002,-7.15,-14.95,-19.36,7.8,12.21,0.82,32.0,4.0
4,2003,39.07,40.83,34.49,-1.76,4.58,0.81,0.81,20.0
5,2004,19.42,20.91,15.27,-1.49,4.15,0.77,0.77,13.0
6,2005,14.72,16.62,11.61,-1.9,3.11,0.73,26.0,26.0
7,2006,22.36,26.65,19.72,-4.29,2.65,0.69,30.0,23.0
8,2007,17.52,16.65,11.28,0.87,6.25,0.69,30.0,15.0
9,2008,-38.38,-45.53,-41.91,7.15,3.53,0.71,37.0,25.0
10,2009,32.25,41.45,35.27,-9.19,-3.02,0.83,44.0,52.0
11,2010,7.71,11.15,13.74,-3.44,-6.03,0.79,25.0,87.0
12,2011,-7.53,-13.71,-7.93,6.17,0.4,0.79,27.0,46.0
13,2012,19.12,16.83,15.84,2.29,3.28,0.82,23.0,26.0
14,2013,24.84,15.29,25.19,9.55,-0.35,0.8,24.0,54.0
15,YTD,7.35,-0.27,4.54,7.62,2.81,2.81,2.81,21.0
