,Year,JPIEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,18.32,21.04,20.16,-2.72,-1.84,-1.84,-1.84,61.0
1,2000,-10.87,-9.1,-6.31,-1.77,-4.56,-4.56,-4.56,78.0
2,2001,-11.71,-11.89,-13.5,0.17,1.79,1.79,1.79,34.0
3,2002,-24.74,-22.1,-22.25,-2.64,-2.49,0.45,74.0,79.0
4,2003,29.6,28.68,27.05,0.91,2.55,0.45,0.45,19.0
5,2004,11.23,10.88,10.02,0.35,1.21,0.45,0.45,30.0
6,2005,3.84,4.91,5.88,-1.07,-2.04,0.45,44.0,75.0
7,2006,15.59,15.79,14.17,-0.21,1.42,0.45,34.0,25.0
8,2007,5.13,5.49,6.16,-0.37,-1.03,0.45,59.0,57.0
9,2008,-36.7,-37.0,-37.79,0.3,1.1,0.45,72.0,33.0
10,2009,31.54,26.46,28.17,5.07,3.37,0.45,92.0,24.0
11,2010,15.39,15.06,14.01,0.33,1.39,0.45,169.0,25.0
12,2011,1.15,2.11,-1.27,-0.96,2.42,0.44,169.0,30.0
13,2012,17.2,16.0,14.96,1.2,2.24,0.45,198.0,18.0
14,2013,34.13,32.39,31.5,1.74,2.62,0.45,178.0,26.0
15,YTD,15.16,13.98,11.28,1.18,3.88,0.45,113.0,6.0
