,Year,VEUAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,36.06,30.63,30.54,5.43,5.53,1.74,149.0,19.0
1,2000,-14.73,-15.31,-9.12,0.59,-5.61,1.74,161.0,72.0
2,2001,-12.35,-19.73,-19.15,7.39,6.8,1.75,564.0,10.0
3,2002,-7.6,-14.95,-13.89,7.35,6.3,1.65,1021.0,19.0
4,2003,44.67,40.83,39.0,3.84,5.66,1.7,1.7,19.0
5,2004,18.55,20.91,21.4,-2.36,-2.85,1.75,1.75,50.0
6,2005,18.38,16.62,15.27,1.76,3.11,1.57,281.0,18.0
7,2006,38.97,26.65,33.56,12.31,5.41,1.44,97.0,22.0
8,2007,14.12,16.65,12.52,-2.53,1.6,1.42,171.0,37.0
9,2008,-47.6,-45.53,-49.79,-2.07,2.19,1.46,235.0,51.0
10,2009,28.55,41.45,47.32,-12.9,-18.77,1.51,433.0,76.0
11,2010,9.42,11.15,10.51,-1.74,-1.1,1.49,381.0,48.0
12,2011,-15.07,-13.71,-15.15,-1.36,0.08,1.49,360.0,57.0
13,2012,26.07,16.83,20.94,9.24,5.12,1.5,297.0,7.0
14,2013,35.96,15.29,26.52,20.67,9.44,1.47,253.0,3.0
15,YTD,-3.64,-0.27,-4.09,-3.37,0.45,0.45,0.45,39.0
