,Year,VGRIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.09,21.04,20.16,-12.95,-12.07,-12.07,125.0,40.0
1,2000,0.48,-9.1,-6.31,9.58,6.79,1.3,30.0,80.0
2,2001,-13.48,-11.89,-13.5,-1.59,0.02,1.3,12.0,93.0
3,2002,-17.81,-22.1,-22.25,4.29,4.44,1.3,70.0,43.0
4,2003,26.28,28.68,27.05,-2.41,-0.77,1.3,1.3,64.0
5,2004,13.98,10.88,10.02,3.09,3.95,1.3,1.3,35.0
6,2005,3.72,4.91,5.88,-1.19,-2.16,1.24,41.0,74.0
7,2006,18.55,15.79,14.17,2.76,4.38,1.26,16.0,46.0
8,2007,0.05,5.49,6.16,-5.44,-6.11,1.17,49.0,63.0
9,2008,-37.03,-37.0,-37.79,-0.03,0.76,1.16,69.0,56.0
10,2009,22.05,26.46,28.17,-4.42,-6.12,1.27,52.0,55.0
11,2010,14.98,15.06,14.01,-0.08,0.97,1.21,41.0,28.0
12,2011,0.32,2.11,-1.27,-1.79,1.59,1.19,23.0,38.0
13,2012,19.53,16.0,14.96,3.52,4.57,1.19,28.0,5.0
14,2013,33.96,32.39,31.5,1.58,2.46,1.15,35.0,28.0
15,YTD,12.96,13.98,11.28,-1.02,1.68,1.13,42.0,35.0
