,Year,FDFFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,47.03,21.04,38.87,25.99,8.15,0.58,310.0,25.0
1,2000,1.7,-9.1,-13.05,10.81,14.75,0.85,249.0,6.0
2,2001,-27.22,-11.89,-22.3,-15.34,-4.92,0.92,187.0,72.0
3,2002,-15.82,-22.1,-27.64,6.28,11.82,0.97,191.0,4.0
4,2003,23.66,28.68,28.66,-5.02,-5.0,0.55,0.55,77.0
5,2004,11.65,10.88,7.81,0.77,3.85,0.71,0.71,18.0
6,2005,10.55,4.91,6.71,5.64,3.84,0.72,119.0,20.0
7,2006,12.26,15.79,7.05,-3.53,5.21,0.86,169.0,13.0
8,2007,29.54,5.49,13.35,24.04,16.18,0.89,175.0,3.0
9,2008,-48.09,-37.0,-40.67,-11.09,-7.42,0.9,173.0,93.0
10,2009,39.87,26.46,35.68,13.4,4.18,0.91,173.0,27.0
11,2010,22.24,15.06,15.53,7.18,6.71,0.92,103.0,7.0
12,2011,-10.85,2.11,-2.46,-12.96,-8.38,0.7,93.0,97.0
13,2012,19.95,16.0,15.34,3.95,4.61,0.77,82.0,9.0
14,2013,40.22,32.39,33.92,7.83,6.3,0.6,59.0,10.0
15,YTD,12.86,13.98,10.79,-1.11,2.07,2.07,2.07,27.0
