,Year,CAIBX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.77,13.49,21.83,-16.27,-24.6,0.64,21.0,100.0
1,2000,12.52,1.68,0.23,10.84,12.29,0.67,41.0,6.0
2,2001,4.75,-2.46,-3.23,7.21,7.98,0.66,37.0,12.0
3,2002,0.65,-6.69,-2.16,7.35,2.81,0.67,36.0,18.0
4,2003,21.57,22.48,25.32,-0.91,-3.75,0.65,0.65,68.0
5,2004,17.4,11.48,15.24,5.92,2.16,0.59,0.59,15.0
6,2005,4.94,7.04,6.56,-2.1,-1.62,0.57,20.0,56.0
7,2006,22.04,12.95,16.61,9.09,5.43,0.55,26.0,9.0
8,2007,10.68,8.63,11.39,2.04,-0.71,0.55,24.0,30.0
9,2008,-30.06,-22.19,-28.98,-7.86,-1.07,0.55,30.0,44.0
10,2009,20.63,21.77,24.37,-1.14,-3.74,0.66,43.0,66.0
11,2010,8.66,12.33,10.58,-3.67,-1.92,0.62,42.0,73.0
12,2011,2.86,0.59,-3.99,2.27,6.85,0.61,47.0,8.0
13,2012,11.81,12.04,10.74,-0.23,1.07,0.63,68.0,40.0
14,2013,14.9,14.31,10.07,0.6,4.83,0.61,69.0,36.0
15,YTD,8.82,5.81,3.26,3.01,5.56,5.56,5.56,5.0
