,Year,CMSCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,59.32,21.04,64.77,38.28,-5.45,-5.45,188.0,46.0
1,2000,5.85,-9.1,-3.85,14.96,9.7,1.22,145.0,27.0
2,2001,-14.19,-11.89,-8.91,-2.3,-5.27,1.23,129.0,63.0
3,2002,-26.58,-22.1,-27.88,-4.48,1.3,1.24,109.0,46.0
4,2003,44.29,28.68,45.54,15.61,-1.24,1.28,79.0,49.0
5,2004,9.61,10.88,12.41,-1.27,-2.8,1.18,1.18,69.0
6,2005,13.14,4.91,6.02,8.23,7.12,1.16,114.0,8.0
7,2006,16.72,15.79,10.81,0.93,5.91,1.2,109.0,12.0
8,2007,21.49,5.49,7.59,16.0,13.9,1.15,151.0,6.0
9,2008,-42.79,-37.0,-41.55,-5.79,-1.24,1.12,165.0,61.0
10,2009,37.68,26.46,35.46,11.21,2.22,1.12,149.0,38.0
11,2010,31.23,15.06,26.98,16.17,4.25,1.07,144.0,27.0
12,2011,-5.18,2.11,-3.55,-7.29,-1.62,1.05,113.0,67.0
13,2012,12.23,16.0,13.15,-3.77,-0.92,1.06,113.0,62.0
14,2013,40.3,32.39,40.91,7.91,-0.61,1.06,104.0,55.0
15,YTD,-7.72,13.98,0.47,-21.69,-8.18,1.05,148.0,95.0
