,Year,FNYTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.29,-2.06,-4.71,-0.23,2.42,2.42,13.0,1.0
1,2000,10.73,11.68,11.93,-0.95,-1.2,0.6,25.0,81.0
2,2001,4.65,5.13,3.83,-0.48,0.82,0.6,8.0,8.0
3,2002,9.11,9.6,8.91,-0.5,0.2,0.59,10.0,52.0
4,2003,4.86,5.31,4.96,-0.45,-0.09,0.6,13.0,44.0
5,2004,4.22,4.48,3.69,-0.26,0.54,0.6,0.6,26.0
6,2005,3.8,3.51,3.25,0.28,0.55,0.6,11.0,16.0
7,2006,4.26,4.84,4.77,-0.58,-0.51,0.6,10.0,61.0
8,2007,3.12,3.36,1.5,-0.24,1.61,0.61,6.0,12.0
9,2008,-3.21,-2.47,-9.21,-0.74,6.0,0.6,11.0,13.0
10,2009,13.27,12.91,18.31,0.35,-5.05,0.6,13.0,73.0
11,2010,0.86,2.38,1.7,-1.52,-0.84,0.6,13.0,79.0
12,2011,10.01,10.7,9.85,-0.69,0.16,0.6,7.0,38.0
13,2012,6.4,6.78,8.18,-0.38,-1.79,0.6,6.0,81.0
14,2013,-4.65,-2.55,-5.32,-2.09,0.68,0.6,12.0,45.0
15,YTD,8.95,8.5,9.94,0.45,-0.99,0.6,5.0,64.0
