,Year,MSIGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,17.12,21.04,20.16,-3.92,-3.04,-3.04,72.0,66.0
1,2000,-7.94,-9.1,-6.31,1.17,-1.63,0.9,73.0,45.0
2,2001,-10.46,-11.89,-13.5,1.42,3.04,0.86,76.0,23.0
3,2002,-19.42,-22.1,-22.25,2.68,2.83,0.99,78.0,20.0
4,2003,26.95,28.68,27.05,-1.74,-0.1,0.97,94.0,52.0
5,2004,9.39,10.88,10.02,-1.49,-0.64,0.93,0.93,63.0
6,2005,5.74,4.91,5.88,0.83,-0.14,0.92,79.0,48.0
7,2006,14.91,15.79,14.17,-0.88,0.74,0.92,84.0,41.0
8,2007,4.2,5.49,6.16,-1.29,-1.96,0.89,104.0,70.0
9,2008,-38.74,-37.0,-37.79,-1.74,-0.95,0.91,120.0,64.0
10,2009,28.77,26.46,28.17,2.3,0.6,1.05,120.0,40.0
11,2010,15.78,15.06,14.01,0.71,1.77,1.03,53.0,21.0
12,2011,-0.22,2.11,-1.27,-2.33,1.05,0.99,35.0,43.0
13,2012,16.55,16.0,14.96,0.54,1.59,0.97,37.0,25.0
14,2013,31.55,32.39,31.5,-0.84,0.05,0.93,46.0,55.0
15,YTD,11.39,13.98,11.28,-2.58,0.11,0.92,52.0,56.0
